37A	Los españoles son vengativos y el odio les envenena.	# Winston Churchill
38AS	El progreso de nuestro mundo será la consecución de más dolor.	# George Orwell
39L	Sin el amor, ¿qué sería el mundo para nuestro corazón?	# Goethe
40F	Me acuerdo del tiempo en el que tenía miedo de estar loco.	# Charles Dickens
41L	Sé que cuando os abraza os rodean los brazos de la niña, de la joven y de la mujer a un tiempo.	# Charles Dickens
42A	Su presencia me pesaba y me molestaba.	# Albert Camus
43A	Entre las muchas mujeres de aquella época que dieron muestras de sus feroces sentimientos, ninguna, tal vez, fue tan terrible, inhumana y feroz como la señora Defarge.	# Charles Dickens
44F	Una sensación de estupor me oprimía conforme mis ojos seguían sus pasos que se alejaban.	# Edgar Allan Poe
45H	Adoro esta región, y me gusta vivir aquí porque he echado raíces aquí, esas raíces profundas y delicadas que unen al hombre con la tierra donde nacieron y murieron sus abuelos.	# Guy de Maupassant
46L	Pude acercarme a ella muy suavemente, de puntillas, y agarrarla de pronto y besarla...	# Fiodor Dostoievski
47A	Yo tengo la idea de que cuando un hombre ríe, la mayoría de las veces es una cosa que repugna contemplar.	# Fiodor Dostoievski
48H	La imaginación consuela a los hombres de lo que no pueden ser. El humor los consuela de lo que son.	# Winston Churchill
49LS	Al encontrarse, se mirarían con una mirada profunda y llena de inteligencia, y en sus ojos habría amor y pena.	# Fiodor Dostoievski
50H	No es necesario vivir, sino vivir feliz.	# Jules Renard
51S	Cuando el hombre no se encuentra a sí mismo, no encuentra nada.	# Goethe
52A	El odio es la cólera de los débiles.	# Alphonse Daudet
53H	Ten buena conciencia y tendrás siempre alegría.	# Thomas De Kempis
54S	La vida es una gran desilusión.	# Oscar Wilde
55A	Mitia le dirigió una mirada cargada de ironía y de odio. Y esta mirada fue tan persistente, que el procurador bajó los ojos.	# Fiodor Dostoievski
56FL	Hay dos fuerzas motivadoras básicas: el miedo y el amor.	# John Lennon
57F	-A mí no me encanta ningún insecto -explicó Alicia-, porque me dan algo de miedo... al menos los grandes.	# Lewis Carrol
58FL	—Es lo justo —dijo Lorin—. Sigamos la lógica: ella te quería, muere la primera; tú no estás condenado, mueres el segundo; yo no he hecho nada, y como soy el más criminal de los tres, lo hago el último.	# Alexandre Dumas
59A	Todos seremos víctimas de los odios.	# José Saramago
60F	A veces me pregunto cómo se las arreglan los que no escriben, los que no componen música o pintan, para escapar de la locura, de la melancolía, del terror pánico inherente a la condición humana.	# Graham Greene
61A	El dinero es el estiércol del diablo.	# Giovanni Papini
62LS	Lo único que me duele de morir, es que no sea de amor.	# Gabriel García Márquez
63H	Yo mismo me quedé sorprendido: una alegría sincera brillaba en su rostro.	# Fiodor Dostoievski
64H	Algunos brindan felicidad dondequiera que vayan, otros tan pronto como se van.	# Oscar Wilde
65S	Una tristeza, inexplicable, unas ganas de llorar, un desasosiego verdaderamente invencible.	# Guy de Maupassant
66H	Alicia sentiría las pequeñas tristezas y se alegraría con los ingenuos goces de los chiquillos, recordando su propia infancia y los felices días del verano.	# Lewis Carroll
67H	Nunca serás feliz si continúas buscando en qué consiste la felicidad.	# Albert Camus
68AL	El amor nace de una mirada; y una mirada es suficiente para generar un odio eterno.	# Paul Valéry
69F	Siempre hay peligro para aquellos que lo temen.	# George Bernard Shaw
70S	La muerte es una vida vivida. La vida es una muerte que viene.	# Jorge Luis Borges
71H	Recordaremos a los autores que nos dieron alegría más tiempo que los que nos hicieron pensar.	# Henry Miller
72A	¿Qué conseguirás con esto? Perder mi amistad si eres vencido, ganar mi odio si vencedor.	# Alexandre Dumas
73AL	Allí donde hay amor, hay vida; el odio conduce a la destrucción.	# Mahatma Gandhi
74L	Haciendo justicia también a la belleza de la señorita Danglars, no concebía cómo un hombre pudiera enamorarse de ella.	# Alexandre Dumas
75A	Incontenida, la cólera es frecuentemente más dañina que la injuria que la provoca.	# Séneca
76L	El amor tal vez sólo es razonable cuando es una locura.	# Antoine de Rivarol
77S	Cuando los hombres dejan de decir cosas agradables, dejan también de pensarlas.	# Oscar Wilde
78A	Tal vez me odie por el mal trato que le di; pero eso ya no me preocupa.	# Juan Rulfo
79A	la Reina no dejó de pelearse con los otros jugadores, ni dejó de gritar «¡Que le corten a éste la cabeza!»	# Lewis Carroll
80S	Yo la abrazo tratando de consolarla, pero ella no entiende. Llora con más ganas.	# Juan Rulfo
81A	No perdono a la muerte enamorada, no perdono a la vida desatenta, no perdono a la tierra ni a la nada.	# Miguel Hernández
82H	Esto hizo que se sintiese más tranquilo y más feliz, porque empezó a creer en su felicidad.	# Alexandre Dumas
83F	El más valiente de nosotros tiene miedo de sí mismo.	# Oscar Wilde
84F	Me corazón es reino del espanto.	# Francisco de Quevedo
85H	La verdadera felicidad social consiste en la armonía y en el uso pacífico de las satisfacciones de cada individuo.	# Napoleón
86F	El que teme sufrir ya sufre el temor.	# Proverbio chino
87LAS	Mi amor por ella, exaltado hasta tal punto que se creía convertido en odio, se regocijaba a la vista de aquel dolor cotidiano.	# Alexandre Dumas
88S	No puedo recordar nada sin una tristeza.	# John Lennon
89S	El mundo es el espejo de mi muerte, y el mundo no muere si yo no muero.	# Henry Miller
90HL	Puede uno amar sin ser feliz; puede uno ser feliz sin amar; pero amar y ser feliz es algo prodigioso.	# Honoré de Balzac
91A	Me hicieron hervir la sangre de rabia; y lloré de vergüenza durante todo el día.	# Guy de Maupassant
92H	¿Se puede llamar ilusiones a lo que nos hace felices?	# Goethe
93AF	Llegó a ver cinco dedos, pero pronto volvió a ser todo normal y sintió de nuevo el antiguo miedo, el odio y el desconcierto.	# George Orwell
94A	La venganza más cruel es el desprecio de toda venganza posible.	# Goethe
95S	Allá deje la vida... Fui a ese lugar con mis ilusiones cabales y volví viejo y acabado.	# Juan Rulfo
96H	El regreso fue alegre. Manuel no disimulaba su contento al ver suceder la paz a la guerra.	# Alexandre Dumas
97A	Tal vez no le habría ocurrido lo mismo con otro rival cualquiera, tal vez la sangre de éste habría manchado sus manos; pero por aquel primer amante no sentía odio, celos ni animosidad de ninguna especie.	# Fiodor Dostoievski
98S	-No tenemos más. Perdone lo poco. Estamos tan escasos de todo, tan escasos...	# Juan Rulfo
99H	Precisamente se echó usted a reír al mirarme, cuando entré en su despacho; yo no sabía entonces distinguir las cosas, y su sonrisa me alegró el corazón.	# Fiodor Dostoievski
100F	Me especializo en asesinatos silenciosos, de interés nacional.	# Agatha Christie
101H	‑No, mi querido Caderousse ‑respondió Dantés‑; no soy orgulloso, sino feliz, y la felicidad ciega algunas veces más que el orgullo.	# Alexandre Dumas
102A	Detesto la vulgaridad del realismo en la literatura.	# Oscar Wilde
103F	Cuando se aproxima la noche, me invade una inexplicable inquietud, como si la noche ocultase una terrible amenaza para mí.	# Guy de Maupassant
104H	No tengo dinero, ni recursos, ni esperanzas. Soy el hombre más feliz del mundo.	# Henry Miller
105HL	El amor como principio, el orden como base, el progreso como fin.	# Auguste Comte
106HF	Entonces me alegré y mi miedo pasó.	# Fiodor Dostoievski
107F	La emoción más antigua y más intensa de la humanidad es el miedo, y el más antiguo y más intenso de los miedos es el miedo a lo desconocido.	# HP Lovecraft
108LS	Ninguna persona merece tus lágrimas, y quien se las merezca no te hará llorar.	# Gabriel García Márquez
109L	Me gustas más en las noches, cuando estamos los dos en la misma almohada, bajo las sábanas, en la oscuridad.	# Juan Rulfo
110A	Percibo ahí a la mujer; ¡y cuánto odio hay en tus palabras, en esa suposición grosera!	# Fiodor Dostoievski
111A	El odio no disminuye con el odio.	# Buda
112H	Mi vida no está en el pasado; está delante de mí.	# André Malraux
113H	Felicidad es estar cada día menos angustiado.	# Alejandro Jodorowsky
114H	La felicidad consiste, principalmente, en conformarse con la suerte; es querer ser lo que uno es.	# Erasmo de Rotterdam
115F	No quiere tu dinero ni tus pertenencias. No es un asalto. Te quiere a tí, porque sencillamente te va a matar.	# Juan Manuel Torres Moreno
116H	Yo no estaba solamente muy animado, estaba incluso, según creo, más y más alegre por momentos.	# Fiodor Dostoievski
117F	Cuando se teme a alguien es porque a ese alguien le hemos concedido poder sobre nosotros.	# Hermann Hesse
118A	–¿Qué te parece la Reina? –dijo el Gato en voz baja. –No me gusta nada –dijo Alicia. Es tan exagerada...	# Lewis Carrol
119S	Creí que no tenía corazón, y resulta que lo tengo. ¿Qué voy yo a hacer con el corazón? El corazón le hace parecer a una más vieja.	# Oscar Wilde
120H	La gente feliz no tiene talento.	# Jules Renard
121LS	Esta es la última vez que la veo a usted. No volveremos a encontrarnos nunca.	# Oscar Wilde
122A	Los odios son tan largos y tan obstinados que el mayor signo de muerte en un hombre enfermo es la reconciliación.	# Jean de la Bruyère
123A	Mucho cabalgamos. Del país de los tártaros pasamos al país de los que odian a la Luna.	# Oscar Wilde
124A	María no comprendía muy bien y nos preguntó de qué se trataba. Le dije que eran unos árabes que odiaban a Raimundo.	# Albert Camus
125S	Pensé que debía haber pasado por años difíciles. Su cara se transparentaba como si no tuviera sangre, y sus manos estaban marchitas; marchitas y apretadas de arrugas.	# Juan Rulfo
126A	Es muy fácil perdonar a nuestros enemigos cuando no tenemos los medios de aniquilarlos.	# Heinrich Heine
127AH	Un niño que llora me resulta odioso, pero el que ríe y se alegra es un rayo del paraíso, una revelación del porvenir en el que el hombre llegará a ser, por fin, tan puro a ingenuo como un niño.	# Fiodor Dostoievski
128S	¿Qué pasa con todas las lágrimas que no derramamos?	# Jules Renard
129H	La gente feliz no tiene derecho a ser optimista: es un insulto a la desgracia.	# Jules Renard
130LA	Entre un hombre y una mujer no hay amistad posible. Hay amor, odio, pasión, pero no amistad.	# Oscar Wilde
131F	¿Miedo a la muerte? Uno debe temerle a la vida, no a la muerte.	# Marlene Dietrich
132S	¡Arrastro tras de mí una realidad muy larga y muy triste!	# Lewis Carroll
133S	El hombre es un ser que le habla a la tristeza.	# Juan Manuel Torres Moreno
134A	Palabras que son saturadas con mentiras o atrocidades no se recuperan fácilmente.	# George Steiner
135L	El corazón tiene más cuartos que un hotel de putas.	# Gabriel García Márquez
136LS	El hombre es celoso si ama; la mujer también, aunque no ame.	# Immanuel Kant
137L	Cuanto más la apreciaba menos capaz se sentía de amarla.	# Leon Tolstoi
138H	El bien de la humanidad debe consistir en que cada uno goce al máximo de la felicidad que pueda, sin disminuir la felicidad de los demás.	# Aldous Huxley
139A	En las cárceles de Londres se libraban fieras batallas entre los presos y sus carceleros y la majestad de la Ley los arcabuceaba convenientemente.	# Charles Dickens
140H	La verdadera felicidad sería recordar el presente.	# Jules Renard
141A	La envidia hace sufrir al envidioso más que a los censurados la censura.	# Ignacio Manuel Altamirano
142H	Vivir para otros no es sólo ley del deber, sino también ley de la felicidad.	# Auguste Comte
143H	Por lo demás la tienda estaba cerrada, cosa que contentó a Lucía que así estaba sola.	# Charles Dickens
144L	Necesito una respuesta en este momento, el amor no se piensa, se siente o no se siente.	# Laura Esquivel
145F	Es probable que tú estés muerto y no lo sepas, los muertos también ignoran que lo están, ignoran absolutamente todo.	# Camilo José Cela
146F	Me agito; mi espanto aumenta; cierro con llave mi habitación.	# Guy de Maupassant
147L	¡Con qué naturalidad nacen los besos en esos tiempo primeros del amor! Acuden apretándose unos contra otros; y tan difícil sería cortar los besos que se dan en una hora, como las flores de un campo en el mes de mayo.	# Marcel Proust
148H	Todo les sale bien a las personas de cáracter dulce y alegre.	# Voltaire
149H	La alegría te hace impotente.	# Jules Renard
150H	Lanzó una exclamación de alegría. Con grandes esfuerzos exploró todos los instrumentos en busca de uno cortante. Encontró un azadón.	# Alexandre Dumas
151H	De esta manera, la confusión iba aumentando por momentos y Alícia se alegró mucho de poder salir del bosque.	# Lewis Carrol
152S	Mañana mandas matar ese animal para que no siga sufriendo.	# Juan Rulfo
153F	Un poco de terror siempre es necesario.	# Mao Zedong
154S	Y apenas ayer, cuando mi hermana Tacha acababa de cumplir doce años, supimos que la vaca que mi papá le regaló para el día de su santo se la había llevado el río.	# Juan Rulfo
155A	Ahora vamos a dejar las cosas bien claras rugió la Reina, dando una patada en el suelo mientras hablaba–: ¡O tú o tu cabeza tenéis que desaparecer del mapa!	# Lewis Carrol
156H	En ese momento sentí alegría de estar libre de bienes, libre de todo ligamen, libre de temor, de envidia y de malicia.	# Henry Miller
157LF	Dos cosas hermosas tiene el mundo: amor y muerte.	# Giacomo Leopardi
158L	Acaricié su pelo negro, abundante, con mis manos... sus mejillas suaves y cálidas.	# Juan Manuel Torres Moreno
159L	El amor nace de un flechazo; la amistad del intercambio frecuente y prolongado.	# Octavio Paz
160S	La melancolía es la tristeza que ha adquirido ligereza.	# Italo Calvino
161S	Incluso cuando el príncipe reía de buena gana se sentía a pesar de todo que no debía de tener en su casa una verdadera alegría, ligera y luminosa...	# Fiodor Dostoievski
162S	Durante casi un año vi las lágrimas que caían rodando por sus dolientes mejillas, y nunca conocí la causa.	# Charles Dickens
163H	Y los gorriones reían; picoteaban las hojas que el aire hacía caer, y reían.	# Juan Rulfo
164AL	El amor más intenso, quizá más débil que el odio, es una negociación, nunca concluyente, entre soledades.	# George Steiner
165A	Los invito a no odiar, porque el odio no deja el espacio para que una persona sea justa, le ciega y cierra todas las puertas del pensamiento.	# Sadam Hussein
166S	La tristeza es algo constante.	# Ray Loriga
167L	Quisiera tener mil brazos, mil bocas, mil... temperamentos, para poder gozar a un tiem­po a una muchedumbre de criaturas femeninas.	# Guy de Maupassant
168A	Lo que estuvo obligado a darme y nunca me dio... El olvido en que nos tuvo, mi hijo, cóbraselo caro.	# Juan Rulfo
169S	Entonces ella se dio vuelta. Apagó la llama de la vela. Cerró la puerta y abrió sus sollozos, que se siguieron oyendo confundidos con la lluvia.	# Juan Rulfo
170H	Tiene usted el espíritu alegre, pero sin bellezas ficticias... Lo que más me gusta de todo es su eterna sonrisa: esó es mi paraíso.	# Fiodor Dostoievski
171A	Al mundo espiritual, la mitad superior del género humano, se le rechaza alegremente, incluso con odio.	# Fiodor Dostoievski
172S	No es que sea pesimista, es que el mundo es pésimo.	# José Saramago
173HS	Pero así como en la ética el mal es la consecuencia del bien, en realidad es de la alegría que nace la pena.	# Edgar Allan Poe
174HS	La melancolía es la felicidad de estar triste.	# Victor Hugo
175H	La felicidad de los grandes consiste no en sentirse felices, sino en comprender cuan felices piensan otros que han de ser ellos.	# Sir Francis Bacon
176LF	Se inclinó a recogerla y al hacerlo sintió una puntada en el pecho, larga y ardiente como una pena de amor.	# Isabel Allende
177H	Conozco a centenares de maridos que serían felices de volver al hogar si no hubiese una esposa esperándoles.	# Groucho Marx
178A	-¡Es que no es viejo! -gritó Tweedledum más furioso todavía.	# Lewis Carrol
179H	El soltero desea una esposa pero se alegra de no tenerla.	# Henry Louis Mencken
180S	Al final descubrimos que la única condición para vivir, es morir.	# José Saramago
181H	Busca dentro de ti mismo, en tu cabeza; y allí lo encontrarás.	# Solón
182H	‑Ese es el único medio de hacer de Italia un Estado fuerte, independiente y feliz ‑respondió el abate.	# Alexandre Dumas
183S	Dime amigo: ¿La vida es triste o soy triste yo?	# Amado Nervo
184H	Estando siempre dispuestos a ser felices, es inevitable no serlo alguna vez.	# Blaise Pascal
185S	La libertad es la esclavitud.	# George Orwell
186AF	Está en mí, se convierte en mi alma. ¡Lo mataré!	# Guy de Maupassant
187L	Los hombres siempre se empeñan en ser el primer amor de una mujer. Las mujeres prefieren ser la última novela de un hombre.	# Oscar Wilde
188S	No hay en el mundo palabras tan eficaces ni oradores tan elocuentes como las lágrimas.	# Lope de Vega
189F	Porque tenía miedo de las noches que le llenaban de fantasmas la oscuridad.	# Juan Rulfo
190H	¡Es un encanto oírte hablar!	# Oscar Wilde
191H	He aquí que he perdona do las injurias y hecho el bien a mi enemigo! ... Estoy satisfecho... soy feliz... no pido más.	# Pedro A de Alarcon
192L	El amor se hace más grande y noble en la calamidad.	# Gabriel García Márquez
193F	No le tengo miedo a la muerte, pero yo no tengo prisa en morir.	# Stephen Hawking
194H	No se atrevían a comprender, pero pronto surgió una sonrisa.	# Guy de Maupassant
195H	La juventud es el paraíso de la vida, la alegría es la juventud eterna del espíritu.	# Ippolito Nievo
196FH	El color desapareció de su rostro y retrocedió en su silla. Acerqué la mía a la suya; y mientras reía, pues entonces estaba muy alegre, vi cómo se estremecía.	# Charles Dickens
197H	¡Qué hermoso día! He pasado toda la mañana tendido sobre la hierba, delante de mi casa, bajo el enorme plátano que la cubre, la resguarda y le da sombra.	# Guy de Maupassant
198H	Felicidad no es hacer lo que uno quiere, sino querer lo que uno hace.	# Jean Paul Sartre
199A	¿Qué secreto? —preguntó ella forcejeando como un gato montés y mordiéndose los labios, blancos de espuma.	# Oscar Wilde
200L	¡Sí, yo la quiero a usted! Usted es más para mí que el mundo entero.	# Oscar Wilde
201F	Diles que no me maten, Justino! Anda, vete a decirles eso.	# Juan Rulfo
202S	El progreso tecnológico sólo nos ha provisto de medios más eficientes para ir hacia atrás.	# Aldous Huxley
203A	Todavía enojado por la tonta disputa con mi prometida, me fui hacia el puerto, para ver los navíos.	# Alejo Carpentier
204LS	El amor es eterno mientras dura.	# Gabriel García Márquez
205L	Me pregunto si será por amor por lo que la nieve besa tan delicadamente a los árboles y a los campos, cubriéndolos luego, por decirlo así, con su manto blanco; y quizá les diga también «dormid ahora, queridos, hasta que vuelva de nuevo el verano».	# Lewis Carrol
206F	Se pasaba hablando de enfermos y muertos. Entraba en el comedor o en la sala diciendo con entusiasmo: Adivinen quién murió.	# Ernesto Sabato
207S	La edad adulta es cuando te has encontrado con tanta gente que cada nueva persona te recuerda a otra.	# Ogden Nash
208H	El tumulto era general, reinaba la alegría, la estupefacción y se oía un ruido espantoso.	# Charles Dickens
209AS	Los celos se alimentan de dudas, y se convierten en furor o se extinguen apenas pasamos de la duda a la certidumbre.	# François de La Rochefoucauld
210H	Caballero, cuando la amistad reúne en la mesa esposa, hijos, hermanas, amigos, cuando una viva alegría inflama mi corazón, le pregunto caballero: ¿hay felicidad preferible a esa en la que todo goza?	# Fiodor Dostoievski
211H	Para lograr todo el valor de una alegría has de tener con quien repetirla.	# Mark Twain
212A	La trampa del odio es que nos abraza demasiado fuerte al oponente.	# Milan Kundera
213A	Mire usted aquí un abogado á quien yo le voy á cortar el pescuezo!	# Pedro A de Alarcon
214A	Además, odio las lecciones: de buena gana les escupiría.	# Fiodor Dostoievski
215F	Mis nervios quedaron destrozados, y fui presa de un horror continuo.	# Edgar Allan Poe
216F	La muerte no sorprende al sabio: siempre está listo para irse.	# Jean de la Fontaine
217LS	¡Siento tantas cosas..., y mi pasión por ella lo devora todo! ¡Tantas cosas! ¡Y sin ella todo se reduce a nada!	# Goethe
218SF	«Y bien, tendré que morir.» Antes que otros, es evidente.	# Albert Camus
219S	El pequeño Hans representa ciertamente una gran pérdida para todos nosotros- dijo el hojalatero cuando hubieron terminado los funerales.	# Oscar Wilde
220S	Me parecía incluso que era imposible figurárselo de otra manera y en vano me alegraba de que lo hubieran avergonzado.	# Fiodor Dostoievski
221A	Creo que el odio es un sentimiento que sólo puede existir en ausencia de toda inteligencia.	# Tennessee Williams
222HS	La alegría es pena que se disimula; sobre la tierra no hay más que dolores.	# Selma Lagerlöf
223H	Al llegar Dixmer, expresó la mayor alegría por encontrar a Maurice a una hora tan inesperada.	# Alexandre Dumas
224H	Salió fuera y miró el cielo. Llovían estrellas.	# Juan Rulfo
225S	Nadie anda en busca de tristezas.	# Juan Rulfo
226L	No llores porque ya se terminó, sonríe porque sucedió.	# Gabriel García Márquez
227FS	-Tuvo una muerte triste, sola en un hospital.	# Isabel Allende
228S	A mí me dolió mucho ese muerto.	# Juan Rulfo
229S	Desde anteanoche es Angustias tan pobre como las infelices que piden de puerta en puerta... -¡Y ella lo ignora!	# Pedro A de Alarcon
230LS	Tenemos la fortuna sin felicidad, como tenemos las mujeres sin amor.	# Antoine de Rivarol
231L	El día en que el bandido había sido salvado por los dos jóvenes se había enamorado de Teresa y había jurado que la joven le pertenecería.	# Alexandre Dumas
232S	Mañana tu padre se torcerá de dolor -le dije-. Lo siento por él.	# Juan Rulfo
233L	Y beso pedacito a pedazo cada parte de tu cara y nunca acabo de quererte.	# Juan Rulfo
234LF	La besaba hasta quedarse sin aliento; pero de pronto la mordió tan profundamente que un reguero de sangre bajó por la barbilla de la joven y corrió por su blusa.	# Guy de Maupassant
235A	Un mundo de miedo, de ración y de tormento, un mundo de pisotear y ser pisoteado, un mundo que se hará cada día más despiadado.	# George Orwell
236L	En las venturas de amor, dice el que más calla.	# Pedro Calderón de la Barca
237H	Proscribamos los aplausos, el espectáculo está en todas partes.	# Jim Morrison
238A	Pero vale más ser franco y decirlo claro. Odio a ese hombre.	# Charles Dickens
239A	Se ve excomulgado y cae en la desesperación. Si vuelve a la sociedad, suele hacerlo con tal odio, que ella misma lo arroja de su seno.	# Fiodor Dostoievski
240A	¡No venga más a mi casa! ¡Es un perro falso y a los perros falsos los lleve el desollador!	# Beethoven
241S	Habían pensado con algún fundamento que no hay castigo más terrible que el trabajo inútil y sin esperanza.	# Albert Camus
242H	No deberíamos vivir sólo por diversión. Nada envejece más que la felicidad.	# Oscar Wilde
243F	Aquel que más posee, más miedo tiene de perderlo.	# Leonardo Da Vinci
244L	Susurrándole palabras recién inventadas y secándole el sudor con un paño, se deslizó hasta el sitio preciso y entonces se movió con discreción, como una esposa acostumbrada a hacer el amor con un marido anciano.	# Isabel Allende
245A	El odio mal dirigido es la desgracia de las razas.	# Tupac Shakur
246H	Ese día estaba contento, porque su hermano Jochen había atrapado una liebre.	# Isabel Allende
247FH	Y una misma alegría se reflejó en todos los semblantes. ¿Cómo no? Después de los terrores supersticiosos por que habíamos pasado.	# Pedro A de Alarcon
248A	Has sido golpeado e insultado, has gritado de dolor, te has arrastrado por el suelo en tu propia sangre, y en tus vómitos has gemido pidiendo misericordia, has traicionado a todos.	# George Orwell
249S	Somos indiferentes a las desgracias de los demás, a menos que nos agraden.	# Jules Renard
250F	A lo mejor lo que sucede es que devuelve la atónita faz de un muerto todavía enmascarada con la careta del miedo a la muerte.	# Camilo José Cela
251L	La incertidumbre es la esencia de la aventura amorosa.	# Oscar Wilde
252A	¡No se acerque usted!	# Oscar Wilde
253F	Hay un acuerdo tácito, no deseado, pero real entre los que dan miedo y los que están asustados.	# Victor Hugo
254F	El miedo mata a más personas que las guerras.	# G Patton
255S	Guadalupe Terreros era mi padre. Cuando crecí y lo busqué me dijeron que estaba muerto.	# Juan Rulfo
256H	Por eso, el deber de ocuparse de la práctica y hacer la felicidad real al menos de una criatura real curaría y refrescaría en primer lugar al bienhechor.	# Fiodor Dostoievski
257F	Un hombre que vive completamente está preparado para morir en cualquier momento.	# Mark Twain
258F	El terror no es más que la justicia rápida, severa, inflexible.	# Maximilien Robespierre
259L	El sexo debe ser misterio y descubrimiento personal.	# Miguel Delibes
260L	En el mar sólo me sé bañar desnuda -le dije. Y él me siguió el primer día, desnudo también, fosforescente al salir del mar.	# Juan Rulfo
261L	Ella apretaba su pierna contra la mía. Yo le acariciaba los senos. Hacia el fin de la función, la besé, pero mal.	# Albert Camus
262A	Es mala, es astuta, no merece... Te mima para hacerte hablar - me confió en un susurro rápido y lleno de odio. Jamás le había yo visto semejante fisonomía.	# Fiodor Dostoievski
263LS	Estaban fríos sus labios, pero él los besó.	# Oscar Wilde
264F	La cripta en la que lo dejamos era pequeña, húmeda y no dejaba penetrar la luz; estaba situada a una gran profundidad, justo debajo de aquella parte de la casa donde se encontraba mi dormitorio.	# Edgar Allan Poe
265S	A falta de perdón, deja venir el olvido.	# Alfred de Musset
266S	Me acuerdo del desventurado día que le sucedió su desgracia. Todos nos conmovimos, porque todos lo queríamos.	# Juan Rulfo
267LF	No hay cosa que más avive el amor que el temor de perder al ser amado.	# Francisco de Quevedo
268H	De alegría inmensa! ¡Pues este hombre «estaba muerto y ha resucitado, estaba perdido y ha sido encontrado»!	# Fiodor Dostoievski
269H	Si no siento la miseria, ¿cómo sentir la alegría, que es la hija mayor de la miseria y que se asemeja a ella que da temor?	# Leon Bloy
270A	Detesto más las malas máximas que las malas acciones.	# Jean-Jacques Rousseau
